stage,index,year,version,page,paragraph,2500Bott,singlebott,bott_list,scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transcational,technical,demand,2500partner,singlepartner,content_production,data_center/storage,Internet_infra,content_distribution,"browsers,_apps_&_smart_devices",advertising,end_users,external_partners,substitutional_partners,transactional,Song_Column_5,Z
2.0,0.0,2011.0,June-July-2011,20.0,"“They love their favorite stars,” says Evan of the viewers. “The musicians on YouTube are one of the biggest things that fans connect to. There’s this whole growing segment of the population where it’s like their primary entertainment medium, just to go on YouTube and watch the regular shows that are put on by everyone ranging from vloggers to musicians to filmmakers to people with camera phones.”",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,80.0
2.0,0.0,2011.0,June-July-2011,38.0,"The Rip Van Winkle is a sleeper tactic for your video. Filming videos with helpful information about your product, service, or industry can build a long-term treasure trove of knowledge for customers. This is the exact opposite of the viral video approach, and it’s not an overnight money machine. But as a tactic for building longterm resources for clients and potential clients, this is a must-do in the current business environment. A quick search for “how-to videos” reveals millions of options to learn just about anything, and almost all of these videos are usergenerated. Imagine if a company could share its own how-to videos in an engaging and easy-touse format. You would save on calls to customer service for those top 10 FAQs that everyone calls about. It’s an opportunity to engage with your customers after the sale. And you are building a long-term library of content that adds to your credibility and SEO and, ultimately, can lead to additional sales. You probably already have some legacy content. So set up a playlist on your favorite social video site with the top 10 FAQs or five walkthroughs of your most popular products, and let Rip Van Winkle get to work.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,200.0
2.0,40.0,2011.0,October-November-2011,18.0,"From Facebook to Twitter, blogs to Kickstarter, the internet has given music artists no shortage of engagement tools to connect with their fans, but those same tools can keep fans at a virtual arm’s length, with higher levels of engagement limited to the high-ticket VIP deals that garner a hurried meet-and-greet backstage. Multiplatinum rock band Incubus decided to ratchet that kind of connection up more than a few levels. For the week leading up to the release of its first new studio album in 5 years, the band and its crew turned a warehouse space in Los Angeles into a high-tech agora, where hundreds of aficionados chosen from its fan clubs converged to meet the band members, watch them rehearse and perform, participate with them on art projects using six large white canvases placed in the room and on instrument clinics, and just do an extended hang with their heroes. Using a range of streaming and internet platforms and technologies, Incubus was able to project that experience to an estimated 2 million additional fans around the world, making Incubus HQ Live a multifaceted multimedia experience.",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,240.0,2011.0,October-November-2011,62.0,"1.The basics—price and operating system.Be sure to determine how pricing is scaled.For example, the base version of Cerify canonly analyze a single stream at a time, whichmay work in small shops, but it might beinsufficient for large-scale operations.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1.0,280.0,2011.0,October-November-2011,72.0,"Encoding.com is probably the best known cloud-based encoding service. Files can be easily uploaded from a simple browse tool or can be added via a desktop application that includes encoding presets and drag-and-drop upload. The company supports huge numbers of file types for ingest and delivery. The user can control nearly every aspect of the encoding process from bitrate to video dimensions and output to multiple formats from H.264 through MPEG-2. Mobile output is easily configured for iOS devices as well as some Android and BlackBerry devices. Adaptive bitrate encoding is supported for iPad/iPhone at as many bitrates as the customer chooses. After transcoding, the user can have the files delivered to any of the major CDNs, or the files can be delivered via FTP to wherever the user desires. It is interesting to note that the company is the only video encoding service integrated with Rackspace and Amazon Web Services. Encoding.com pricing is monthly or pay as you go, or it can be customized for large-volume transcoding needs.",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,360.0,2011.0,October-November-2011,84.0,"But the set-top box for streaming media has been a headache for at least a decade. First, there is an expectation that a STB should cost about $100. That was true in 2001, and it is still the case. The expectation stems from con- sumer price points for cable TV STBs that are not only purchased in 100,000 unit volume by the cable TV operators but are subsidized by recurring cable TV revenues and service con- tract periods. Unless you are buying by the pallet-load, the STB manufacturers generally won’t talk to you. But you can buy smaller quantities of what they make, as long as you can live with the functions they built in for the large cable TV operator. You can’t expect the STB to behave like a PC or browser, nor should you—it is designed to operate with an infrared remote control, and every STB handles the keycodes differently. Expect only one format to be supported, typically not the one you need. It gets worse. The STB will typically have a life of 1 or 2 years, and then it will be discontinued and replaced by an incompatible model.",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,40.0,2012.0,April-May-2012,16.0,"Because of the way that Liquidus “videos” are constructed, there are no high-resolution copies to store—no hard files and no multiple iterations. Instead, animations are created as needed; they’re customized for that platform and connection speed. “We can tailor the response to the device,” says Davis. ",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,80.0,2012.0,April-May-2012,22.0,"They’ll also learn that real-world brands, in the RCVR world, benefited from alien technology—real-world brands such as show sponsor Motorola. Van Eyssen understands he needs to tread lightly in brand sponsorships, but he still sees tech companies as a natural fit to his story. ",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,120.0,2012.0,April-May-2012,29.0,"The good news: As 2012 progresses, streaming media continues to reach more viewers worldwide than ever before. It appears that this growth will continue as increasingly more people watch content on web- and mobile-connected devices.",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0
0.0,240.0,2012.0,April-May-2012,47.0,"I asked Elemental members of management about their limited file support, and they explained that, as originally envisioned, Elemental Server was focused on producing files for adaptive streaming, since this was an emerging requirement that used relatively few file formats but involved massive numbers of output files. While the company is gradually expanding format support, it sees the product as a highly focused encoding engine, not a Swiss Army knife. ",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,80.0,2012.0,August-September-2012,22.0,"Break’s Background Some history: Break Media began in 2004, when CEO Keith Richman became a fan of Bigboys.com (now rebranded as Break.com). Bigboys.com had “built a cultish following by hand-picking the best web videos every day,” says Tu. Richman bought the site, “hired a technology team and an editorial staff to curate content, and created a platform that enabled users to upload their own content and share it easily with friends.” ",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0
2.0,120.0,2012.0,August-September-2012,30.0,"But what about the column, I thought? Can’t let ol’ Eric down, at least not for too long. Then it hit me. While checking for lighting style I could see if HTML5 has made any inroads into these high-profile markets. You know, visit the site in Google Chrome, find a talking head video, right-click to see what technology is playing the video, and at the same time, note whether it used flat or shadowed lighting. Surely, I thought, if Adobe dropped Flash from the name of Adobe Media Server 5, large sites must be dropping Flash faster than Disney dropped the Jonas Brothers.",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,200.0,2012.0,August-September-2012,42.0,"Advertising’s role in branded entertainment can be tricky. Viewers understand that premium shows need sponsors, but they don’t want to feel like they’re watching long-form commercials. Integrating brand messages with content in a way that doesn’t feel forced is a big part of Cahn’s job.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0
2.0,240.0,2012.0,August-September-2012,46.0,"Quality control software has been around for a while now; for an overview of the category and quick look at four entrants, check out “Quality Control Roundup: Catch the Mistakes Before They Go Live“ (http://go2sm.com/ qualitycontrol). Producing files for adaptive streaming throws some new wrinkles into the mix, however, both from a format and a management perspective. One of the first products that attempts to simplify QC for adaptive streams is Venera Technologies’ Pulsar, which By Jan Ozer Figure 1. Creating a template in Pulsar now can analyze adaptive streams produced for HTTP Live Streaming (HLS) and Smooth Streaming, but not HTTP Dynamic Streaming (HDS). In this review I take a look at Pulsar as a whole, with a focus on these new adaptive streaming related capabilities.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,280.0,2012.0,August-September-2012,52.0,"Digital Rapids offers an extensive range of models that input signals from composite SD to HD SDI and can output H.264, VP6, MPEG-2, and Windows Media Video in single stream or adaptive streams suitable for Smooth Streaming, Dynamic Streaming, and HTTP Live Streaming. The Windows-based software is easy to use and functional, with useful adjustments for brightness, contrast, saturation, tint, spatial and temporal noise reduction, and audio volume controls. On the other hand, the template creation software is overly complex, but once they’ve created their presets, most users won’t need to use this software. Most importantly, the H.264 and WMV streams I created during my testing showed uniformly good quality. TouchStream units aren’t cheap, but if you’re looking for a high-quality, highly portable live encoder for road productions, TouchStream is a great choice.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,320.0,2012.0,August-September-2012,59.0,"Digital Rapids provides innovative solutions, technology and expertise that enable media organizations to bring live and ondemand video to wider audiences more efficiently, more effectively and more profitably. Our award-winning software and hardware solutions span the critical points in today’s media operations, including ingest, encoding, transcoding, streaming, broadcast and workflow automation. We’re bringing our complete lineup to IBC 2012 in stand 7.F33. Featured demos will include the IBC debut of our groundbreaking Kayak dynamic workflow technology platform; the new version 2.0 of our Digital Rapids Transcode Manager highvolume media processing software (powered by Kayak); and our StreamZ Live Broadcast integrated broadcast/multi-screen encoder. ",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,80.0,2012.0,December-2012-January-2013,20.0,"Much of Kontonis’ time right now is devoted to growing the IAWTV’s outreach activities and its role in the online video community. “We have chapters in different cities that put on events. We do a really big series of events with YouTube in a partnership with their YouTube partner program, so we do monthly events with them. We do screenings. We work with a lot of the conferences and do program panels and educational events and networking opportunities, so it’s really become a true industry organization,” Kontonis notes.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
2.0,120.0,2012.0,December-2012-January-2013,37.0,"Though relatively few websites are required to provide closed captions for their videos, any website with significant video content should consider captioning. Not only does it provide access for deaf and hard-of-hearing viewers, but captions and the associated metadata can dramatically improve video search engine optimization. In this introduction to closed captions, you’ll learn about who needs to caption and who doesn’t (and why you may want to anyway), the available workflows for captioning live events and on-demand files, and a bit about web caption formats and how to marry them to your streaming files. Let’s jump in.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,240.0,2012.0,December-2012-January-2013,50.0,"Paul Riismandel, Northwestern University: Worrying about codecs will beon its way out. H.264 has won the day.",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,360.0,2012.0,December-2012-January-2013,64.0,"With this development and the ever-increasing demand for live video, broadcasters and online media professionals are looking for new ways for delivering non-stop live video coverage to their viewers. Content is king – and live video plays a central role. ",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,400.0,2012.0,December-2012-January-2013,69.0,"The answer to meeting these changing needs lies in workflow management solutions that provide the flexibility and intelligence users need to achieve efficient content preparation, packaging, and distribution. This past year we introduced GPU-accelerated transcoding and packaging products specifically to address the multiscreen distribution challenge. We look forward to solving more of these challenges for new markets and workflows.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,80.0,2012.0,February-March-2012-(Sourcebook),24.0,"The past year also saw its share of pitfalls and stumbles. Netflix, once the shining king of the streaming entertainment world, will spend 2012 trying to undo self-inflicted damage from a few poorly thought-out changes. And the rise of bandwidth caps by cell carriers threatens to strangle the streaming party just when it’s getting good.",1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,160.0,2012.0,February-March-2012-(Sourcebook),40.0,"The Paradox of Effectiveness As they reflect on 2011’s superb economic performance, online advertising experts have been wondering which models deliver the “biggest bang for the buck.”",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
2.0,200.0,2012.0,February-March-2012-(Sourcebook),44.0,"To that end, companies such as Mobile Active Defense (M.A.D. Partners, LLC) and Zenprise concoct a complex amalgam of business rules that take into account whether an employee is in a particular location, whether he or she is inside or outside the firewall, and whether the profile access allows him or her to view particular content. In essence, this allows multiple firewalls on a per-device, per-location basis.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,240.0,2012.0,February-March-2012-(Sourcebook),50.0,"Sohl’s ideal of the connected home resonates with others in the industry. This said, they all have their own spin on the concept.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,280.0,2012.0,February-March-2012-(Sourcebook),55.0,"Mobile is supported with pretty much all the major video platforms used in education. Whether it’s a new breed open video player (OVP) such as Kaltura, Ensemble Video, or Ooyala or stalwarts such as YouTube and iTunes U, schools have multiple options for making video available to students and faculty on-the-go.",1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0
2.0,320.0,2012.0,February-March-2012-(Sourcebook),60.0,"The Accordent acquisition, for which Polycom paid $50 million in cash, comes about 1.5 years after Logitech acquired videoconferencing company LifeSize Communications, in part for its Video Center product. Yet, Polycom views asset management as the key Accordent differentiator for Polycom’s unified communications solutions.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,400.0,2012.0,February-March-2012-(Sourcebook),72.0,"If you want configurable controls over the frame rate so you can shoot at any speed from 1 to 60 fps, you’ll need a more expensive camcorder; devices in the $6,000–$10,000 range also deliver more precise control of the picture quality, with configurable controls over options such as gamma and knee. Finally, if you want higher-quality storage formats, such as 50Mbps MPEG-2, AVC-Intra, or Red format, you’ll need to stretch the budget as well. ",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1.0,480.0,2012.0,February-March-2012-(Sourcebook),84.0,❑ Will your bandwidth be limited?,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,600.0,2012.0,February-March-2012-(Sourcebook),106.0,"While there are many other factors that any one buyer may find critical, this list is intended to cover the key features that, in my mind, are critical to the intended audience of these devices. In the following table, I use a crude scoring system. At some point, I hope to have all the devices for a true shootout, but so far, this has proven difficult to arrange with the vendors. Perhaps there is something they don’t want me to see?",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,680.0,2012.0,February-March-2012-(Sourcebook),124.0,"4. Does it make more sense to insource or outsource the metadata extraction? The answer depends, of course, on the amount of content you need to extract metadata from, the level of detail required, and the need for it to integrate into your asset management and postproduction workflows. ",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,720.0,2012.0,February-March-2012-(Sourcebook),129.0,"When growing viewer demand requires that you add another server, the media server software you’ve chosen should make this job as easy as purchasing another license and another generic server box.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1.0,760.0,2012.0,February-March-2012-(Sourcebook),146.0,"Transrating is the newest in-network technology on the block, and it essentially involves taking a high bandwidth source and stripping out frames and “quality” to effectively reduce the bandwidth required by the stream. So, for example, you could send the CDN an HD source at 2Mbps, and the CDN could transrate that source down to a mobile 250Kbps. It’s not quite the same as transcoding, so it has a lower overhead to the CDN. I have not seen any very mature models in play, although I am aware they exist, so I am not yet sure how transrating is being priced and offered. ",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,800.0,2012.0,February-March-2012-(Sourcebook),151.0,"Publishing By now, most OVPs support single stream playback to Flash and iOS devices. Though adaptive streaming is far from pervasive at this point, if you’re choosing an OVP in 2012, adaptive streaming for all supported platforms (Flash, iOS, Android) should be on its short-term road map, if not already available. For Flash, RTMP-based Dynamic Streaming is acceptable for smaller sites, though larger sites should offer HTTP-based Dynamic Streaming as well. ",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,920.0,2012.0,February-March-2012-(Sourcebook),173.0,"3.Create annotations or tagging. The first two steps sound less painful, but we’re going to cover all three approaches since manual creation of annotation or tagging can have significant monetization and asset management benefits. In reality, given the limited consistency of speech-to-text and visual pattern recognition, even those who rely on automated metadata extraction will find themselves falling back on manual metadata creation or corrections to automated metadata capture. ",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,80.0,2012.0,June-July-2012,24.0,"By moving encoding/transcoding into the cloud, content creators free themselves from maintaining a dedicated encoding/transcoding server farm. This reduces CAPEX in purchasing and renewing hardware/software. It also eliminates the operating expenditures associated with running such a platform—not just ongoing support, but also electricity, floor space, and human technician support.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,240.0,2012.0,June-July-2012,56.0,"The embedded player itself is functional as long as you embed both parts; otherwise, your viewers won’t get chat or access to your video library. On my test computer, my iPad, and the Toshiba Thrive, the live video stream played in the embedded video window. On the iPod touch, the video played in full screen.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0
2.0,280.0,2012.0,June-July-2012,63.0,"On the other hand, Bambuser lacked features such as polling and chat, which were available on Ustream’s iPhone app, though how you could shoot video on an iPhone and chat at the same time is totally beyond me (you probably need to be a teenager to accomplish that).",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1.0,40.0,2012.0,October-November-2012,18.0,"Mobile streaming was available, thanks to those Adobe apps, and Cordella found a strong desire for mobile access. In the first week of the games, streaming video traffic to the apps was higher than streaming video traffic to standard web browsers. ",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0,0.0,0.0,0,0.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,80.0,2013.0,April-May-2013,18.0,"“No, it’s not with YouTube themselves,” Rafi explains. “Where the unsavory business practices are coming from are the multichannel networks. Basically, YouTube has given a lot of power over to these multichannel networks to be able to almost be the support system for all the top people on the site, even the tiny people on the site, that are trying to become bigger. All these networks, like Maker Studios, Machinima, Fullscreen, Big Frame, IGN—I think there’s a good couple hundred now, if not more, that all have been making people sign contracts with them, similar to how an old, traditional Hollywood studio would, where they’re owning IP [intellectual property] for doing almost nothing for the people.”",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
0.0,120.0,2013.0,April-May-2013,26.0,"BIGGEST TREND Beyond the convergence of video processing infrastructure, HEVC/H.265 compression wi l be very important in the immediate future. As HEVC ro ls out, it wi l dramatica ly improve video viewing experiences on lower-bandwidth networks (such as mobile), and also enable previously unheard of experiences like watching Ultra HD/4K streams over IP connections. BIGGEST CHALLENGE Helping our customers effectively monetize multiscreen content. Content owners and aggregators should be compensated as much for multiscreen viewing as they are for traditional linear broadcast viewing, and that is not the case today.",1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,160.0,2013.0,April-May-2013,32.0,"Successful interactive online video ads build “consumer engagement with a brand,” says Koeppel. “They also allow for interactivity that grows in the player or when the consumer clicks through to a marketer’s landing page or website.”",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
0.0,280.0,2013.0,April-May-2013,51.0,"Device Platform Capabilities Welcome to one of the more headache-inducing areas to consider, as each device platform (and, in some cases, the model) has its own set of technical capabilities and limitations when it comes to video experiences.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,320.0,2013.0,April-May-2013,60.0,"VIGGLE AND GETGLUE In November of 2012, the two frontrunners in the social TV app space made tech headlines by announcing Viggle would be acquiring GetGlue. With a combined userbase of 4.3 million members, it would have solidified a clear leader in the second-screen app race. But after insufficient funds were raised to complete the deal, a retraction on the buyout was announced in mid-January 2013. The excitement around the possible deal created an additional flurry of activity for both Viggle and GetGlue, and although they are pushing forward as separate companies, neither one shows any sign of stopping. ",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
0.0,560.0,2013.0,April-May-2013,82.0,"Media Excel defines the multi-screen transcoding standard for video delivery across the head-end, cloud and edge video distribution networks. The company’s software based solutions for live and file transcoding deliver adaptive bitrate multi-screen solutions. We power more than 18 million live Mobile TV viewers daily through the largest US telcos with 99.999% uptime since 2007. We provide superior solutions for HLS, Flash, Smooth and MPEG-DASH. We are also on the cutting edge in codec technology and will be showcasing our HEVC encoder. Look for the launch of our low-cost, full featured encoder decoder pair for point-to-point distribution and content gathering.",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,600.0,2013.0,April-May-2013,87.0,"I would wager that you can’t make it through 700 words without a phone beeping, person talking, or visual distraction. The odds are definitely stacked in my favor. We live in a world where everything is designed to fight for your attention. The average length of an online video hovers around the 6-minute mark, but the average viewer on YouTube only makes it through 85% of a video before dropping off. And if the latest hot social app Vine is any measurement of the future, our attention span for content is shortening at a rapid pace. The warning signs that we are losing the battle for catching eyeballs and keeping them is nothing new. Twitter’s 140-character limit has been thwarting would-be Shakespeares since 2006. But Vine and other apps like it appear to be ushering in a new era of super-short, snack-sized content. If companies are going to survive in this new slimmed-down era, we must look at what these new tools are and how we can use them to thrive.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,40.0,2013.0,August-September-2013,10.0,"IT ALL STARTS WITH INGEST For video on demand (VOD), Azure Media Services offers multiple ingest options, including the ability to upload files over HTTP or HTTPS with advanced encryption standard (AES)-256 encryption, which should work well for small numbers of day-to-day uploads. For larger uploads, you can either use the Bulk Ingest .NET Library or a partner solution such as Aspera On Demand for Microsoft Windows Azure (go2sm.com/azureaspera), which runs Aspera transfer server software in the Windows Azure cloud. These transfers are secure and leverage Aspera’s patented fasp transport technology, which can dramatically accelerate transfer time over FTP and HTTP.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
